Area,Area Id,Variable Name,Variable Id,Year,Value,Symbol,Md
Afghanistan,2,Total population,4104,1962,9346,E,
Afghanistan,2,Total population,4104,1967,10373,E,
Afghanistan,2,Total population,4104,1972,11722,E,
Afghanistan,2,Total population,4104,1977,13068,E,
Afghanistan,2,Total population,4104,1982,12750,E,
Afghanistan,2,Total population,4104,1987,11503,E,
Afghanistan,2,Total population,4104,1992,13981,E,
Afghanistan,2,Total population,4104,1997,18382,E,
Afghanistan,2,Total population,4104,2002,21980,E,
Afghanistan,2,Total population,4104,2007,26617,E,
Afghanistan,2,Total population,4104,2012,30697,E,
Afghanistan,2,Total population,4104,2017,35530,E,
Afghanistan,2,Population density,4107,1962,14.32,E,
Afghanistan,2,Population density,4107,1967,15.89,E,
Afghanistan,2,Population density,4107,1972,17.95,E,
Afghanistan,2,Population density,4107,1977,20.02,E,
Afghanistan,2,Population density,4107,1982,19.53,E,
Afghanistan,2,Population density,4107,1987,17.62,E,
Afghanistan,2,Population density,4107,1992,21.42,E,
Afghanistan,2,Population density,4107,1997,28.16,E,
Afghanistan,2,Population density,4107,2002,33.67,E,
Afghanistan,2,Population density,4107,2007,40.77,E,
Afghanistan,2,Population density,4107,2012,47.02,E,
Afghanistan,2,Population density,4107,2017,54.42,E,
Afghanistan,2,Total renewable surface water,4185,1962,55.68,K,
Afghanistan,2,Total renewable surface water,4185,1967,55.68,K,
Afghanistan,2,Total renewable surface water,4185,1972,55.68,K,
Afghanistan,2,Total renewable surface water,4185,1977,55.68,K,
Afghanistan,2,Total renewable surface water,4185,1982,55.68,K,
Afghanistan,2,Total renewable surface water,4185,1987,55.68,K,
Afghanistan,2,Total renewable surface water,4185,1992,55.68,K,
Afghanistan,2,Total renewable surface water,4185,1997,55.68,K,
Afghanistan,2,Total renewable surface water,4185,2002,55.68,K,
Afghanistan,2,Total renewable surface water,4185,2007,55.68,K,
Afghanistan,2,Total renewable surface water,4185,2012,55.68,K,
Afghanistan,2,Total renewable surface water,4185,2017,55.68,K,
Afghanistan,2,Total renewable groundwater,4187,1962,10.65,I,
Afghanistan,2,Total renewable groundwater,4187,1967,10.65,I,
Afghanistan,2,Total renewable groundwater,4187,1972,10.65,I,
Afghanistan,2,Total renewable groundwater,4187,1977,10.65,I,
Afghanistan,2,Total renewable groundwater,4187,1982,10.65,I,
Afghanistan,2,Total renewable groundwater,4187,1987,10.65,I,
Afghanistan,2,Total renewable groundwater,4187,1992,10.65,I,
Afghanistan,2,Total renewable groundwater,4187,1997,10.65,I,
Afghanistan,2,Total renewable groundwater,4187,2002,10.65,I,
Afghanistan,2,Total renewable groundwater,4187,2007,10.65,I,
Afghanistan,2,Total renewable groundwater,4187,2012,10.65,I,
Afghanistan,2,Total renewable groundwater,4187,2017,10.65,I,
Afghanistan,2,Total renewable water resources,4188,1962,65.33,K,
Afghanistan,2,Total renewable water resources,4188,1967,65.33,K,
Afghanistan,2,Total renewable water resources,4188,1972,65.33,K,
Afghanistan,2,Total renewable water resources,4188,1977,65.33,K,
Afghanistan,2,Total renewable water resources,4188,1982,65.33,K,
